BlockNum,TxNum,graph,group,graph+group,prefetch,execute,merge,total
14399446,288,67755,61,67817,2891,46323,8037,208310
14399447,318,73286,65,73352,2333,24682,4919,198021
14399448,294,66755,72,66828,2504,39754,6177,206554
14399449,98,7259,29,7289,717,6445,2274,43345
14399450,190,24329,39,24369,1776,12631,5470,98149
14399451,85,5339,27,5367,627,7215,1496,36607
14399452,138,14999,36,15036,1402,11226,3151,83912
14399453,341,110366,134,110501,2990,48325,8588,284671
14399454,202,33388,65,33454,2068,19879,5481,131442
14399455,128,9978,34,10013,1254,9892,3508,65988
14399456,356,93539,74,93614,3220,56289,8825,255636
14399457,362,95946,67,96014,2810,46468,9216,264346
14399458,470,121751,68,121820,2879,50465,8565,288430
14399459,126,12651,31,12684,1403,16732,4614,85120
14399460,189,25654,36,25691,1751,23860,4203,118891
14399461,53,2528,15,2545,855,18382,2820,44496
14399462,50,1570,18,1589,413,2842,659,20626
14399463,408,102236,74,102311,2463,39362,5995,265536
14399464,321,79663,63,79727,2653,38056,7000,238046
14399465,154,17112,38,17152,878,9037,4639,77070
14399466,239,40509,61,40571,1933,28862,4414,163510
14399467,156,16458,43,16501,1310,18497,4219,92680
14399468,87,7464,21,7487,1609,18504,3588,73419
14399469,178,31472,36,31510,2218,38560,6178,138935
14399470,18,319,7,326,259,1234,426,9170
14399471,35,999,11,1011,276,3926,334,15659
14399472,255,40548,67,40617,2261,40874,5960,165856
14399473,249,46364,48,46414,2288,36178,7688,169778
14399474,174,23553,59,23613,2037,25128,5338,134917
14399475,228,45979,50,46030,2848,34619,9194,187937
14399476,220,37557,50,37608,2457,57120,8875,186472
14399477,170,18082,35,18119,1872,13515,4980,94458
14399478,144,18153,36,18191,1788,24727,4680,113899
14399479,97,8375,24,8400,1058,9223,3135,59069
14399480,225,33869,48,33918,2069,29451,5338,152904
14399481,76,5669,21,5691,1139,12212,3041,62718
14399482,179,34689,46,34736,2135,33023,6712,159793
14399483,230,42467,53,42522,2542,27394,4483,159483
14399484,106,7695,25,7721,1364,9452,3961,60482
14399485,29,1157,15,1172,846,6893,2680,35742
14399486,330,71523,71,71596,2690,46097,7867,296209
14399487,21,676,7,684,429,4629,1053,23921
14399488,257,53939,55,53995,2854,37311,12271,224420
14399489,108,14511,51,14564,992,9732,6064,103374
14399490,8,166,5,171,199,1605,277,7982
14399491,561,117681,88,117770,1350,3547,943,239605
14399492,157,15215,32,15249,1376,20693,3691,95318
14399493,242,25211,49,25261,1009,5684,2242,98195
14399494,352,97986,70,98057,3448,47580,9985,312937
14399495,291,70364,59,70424,2964,33617,9747,264514
14399496,114,7874,27,7902,1108,11154,4022,85105
14399497,136,12315,31,12347,639,7821,2632,78216
14399498,18,237,9,247,212,595,233,6884
14399499,212,33069,62,33132,1594,16859,4216,151887
14399500,310,59132,58,59192,2228,29279,4443,209336
14399501,57,2486,17,2504,469,11091,1497,55155
14399502,109,10471,29,10501,839,7891,2237,87866
14399503,32,862,9,872,396,5901,872,22835
14399504,328,70342,65,70408,1845,26829,4996,241733
14399505,125,13557,43,13601,1594,14896,4051,109014
14399506,388,117970,94,118065,4868,42178,7406,381738
14399507,221,34427,43,34471,2423,30162,7453,177327
14399508,100,5995,25,6021,632,5503,3765,59540
14399509,170,19303,38,19343,1346,15801,3453,109291
14399510,78,5610,21,5632,1249,16461,3269,73078
14399511,32,712,10,723,368,2197,824,18454
14399512,434,119599,83,119683,2397,27951,4999,310697
14399513,261,72713,99,72813,2818,44564,8276,273762
14399514,17,302,6,308,232,634,213,10424
14399515,267,47567,63,47631,1724,18454,4039,180213
14399516,69,3005,17,3023,408,3729,1369,35684
14399517,16,268,6,275,274,13043,454,25920
14399518,277,47741,73,47815,2002,41961,4820,247458
14399519,219,34654,50,34705,1553,15245,2824,179002
14399520,406,106870,73,106944,2500,35552,8466,304211
14399521,305,65489,65,65554,1703,30553,4595,264735
14399522,216,24745,35,24781,1210,8773,3488,106132
14399523,37,1784,26,1811,585,5959,1440,40256
14399524,256,49881,55,49937,2306,22305,5617,224617
14399525,33,1036,10,1046,435,2068,662,28630
14399526,209,31318,42,31361,1686,18779,4034,158087
14399527,253,57494,65,57560,2709,27900,6266,234995
14399528,139,11714,32,11747,671,7562,1384,92752
14399529,137,16496,33,16531,1237,11663,3580,120902
14399530,86,4566,21,4588,637,4957,1611,54765
14399531,21,475,8,483,283,2890,327,15352
14399532,116,7819,27,7847,477,3672,1826,69280
14399533,13,248,8,257,216,845,285,10761
14399534,49,2194,14,2209,420,3580,1087,40698
14399535,285,62521,63,62585,2583,84286,5209,319864
14399536,171,23971,37,24009,1317,13832,5220,161251
14399537,28,607,9,616,344,1793,621,17710
14399538,331,79689,65,79755,2453,30096,6228,307177
14399539,0,1,0,2,0,0,0,39
14399540,90,6752,21,6774,788,7739,2796,76042
14399541,108,15525,31,15557,2017,30476,5490,159830
14399542,124,16389,34,16424,2533,39520,4600,161296
14399543,117,10614,33,10648,639,8486,2228,99523
14399544,395,105925,87,106013,2716,32938,7270,350945
14399545,293,67123,62,67186,2805,34842,8161,283979
